,codigo_intervencao,dcodigo_interv,count_code,perc
39,304,CRIAÇÃO DO PROPRIO EMPREGO SUBSIDIADOS - CPE,11688,0.029254383408179218
54,326,MEDIDA ESTÍMULO 2012,11616,0.029074171600736637
97,502,PROGRAMA OCUPACIONAL PARA CARENCIADOS (POC),10180,0.02547994721896513
33,235,ACOMPANHAMENTO NA PROCURA DE EMPREGO,9592,0.02400821745818404
77,414,INOV JOVEM - ESTÁGIOS,9528,0.023848029184901746
55,327,LINHA DE APOIO À CRIAÇÃO DE EMPRESAS E DE EMPREGO,9428,0.023597735007898156
164,742,EFA - EDUCAÇÃO FORMAÇÃO DE ADULTOS - CGP,8754,0.021910752254893983
65,402,BOLSA FORMAÇÃO INICIATIVA TRABALHADOR,8692,0.02175556986515176
120,614,CONTRATO EMPREGO INSERÇÃO - PESSOAS COM DEFICIENCIA E INCAPACIDADE,7832,0.019603039942920914
185,766,EFA - FORMAÇÃO CONTINUA - NÍVEL SECUNDÁRIO,7584,0.018982310383952018
81,417,ESTÁGIOS QUALIFICAÇÃO-EMPREGO,7525,0.0188346368195199
80,417,ESTÁGIOS QUALIFICAÇÃO EMPREGO,7525,0.0188346368195199
127,705,FORMAÇÃO PROFISSIONAL PARA DESEMPREGADOS - CGD,7216,0.01806122781257882
187,768,EFA - FORMAÇÃO CONTINUA - TIPO B1 + B2,7151,0.017898536597526486
188,768,EFA - FORMAÇÃO CONTINUA - TIPO B1+B2,7151,0.017898536597526486
93,429,REATIVAR,7060,0.017670768896453224
234,7017,TUTORIA NA PROCURA DE EMPREGO COLETIVA,6617,0.016561965692327332
88,424,PASSAPORTE EMPREGO ECONOMIA SOCIAL,6392,0.015998803794069264
156,734,"FORMAÇÃO CONTINUA - RECICLAGEM, ACTUALIZAÇÃO E APERFEIÇOAMENTO",6292,0.015748509617065677
82,418,INOV-SOCIAL,6086,0.01523290361243829
203,783,EFA - S3 - PERCURSO FLEXÍVEL,5406,0.013530903208813899
199,779,EFA - S - TIPO A,5292,0.01324556784702981
48,320,PAECPE-SUBSÍDIO+APOIO COMPLEMENTAR,5036,0.012604814753900628
119,613,ESTÁGIOS DE INSERÇÃO - PESSOAS COM DEFICIENCIA E INCAPACIDADES,5008,0.012534732384339624
124,702,APRENDIZAGEM - CGD,4866,0.012179314652994532
92,428,EMPREGO JOVEM ATIVO,4798,0.012009114612632092
146,724,FORDESQ - PEPS - ENTIDADES,4534,0.011348337985342623
8,206,RVCC - IEFP,4530,0.01133832621826248
207,787,FEG - FORMAÇÃO PROFISSIONAL,4516,0.011303285033481977
202,782,EFA - S - PERCURSO FLEXÍVEL,4400,0.011012943788157818
176,755,EDUCAÇÃO FORMAÇÃO DE JOVENS - PERCURSO TIPO 4,4288,0.0107326143099138
126,704,INICIAÇÃO PROFISSIONAL E QUALIFICAÇÃO INICIAL - CGD,4030,0.010086855333244545
5,203,DESENVOLVIMENTO DE COMPETÊNCIAS PESSOAIS E SOCIAIS,3876,0.009701402300659022
98,503,DESPACHOS CONJUNTOS E PROTOCOLOS,3744,0.009371013987014287
20,218,RVCC PROFISSIONAL,3664,0.00917077864541142
108,603,FORMAÇÃO PROFISSIONAL -  PESSOAS COM DEFICIÊNCIA - CGP,3507,0.008777816787515786
109,603,FORMAÇÃO PROFISSIONAL - PESSOAS COM DEFICIÊNCIA - CGP,3507,0.008777816787515786
225,7008,ACOMPANHAMENTO PSICOPEDAGÓGICO DE FORMANDOS,3129,0.007831704798442229
254,9999,OUTRAS RESPOSTAS,3067,0.007676522408700006
121,615,EMPREGO APOIADO EM MERCADO ABERTO,2934,0.007343631153285235
125,703,APRENDIZAGEM - CGP,2638,0.006602760389354618
140,718,EDUCAÇÃO FORMAÇÃO - CGD,2496,0.006247342658009525
123,701,APRENDIZAGEM - CTE,2458,0.006152230870748163
34,290,CENTRO QUALIFICA - ENTIDADE EXTERNA,2342,0.005861889625424001
212,792,FORMAÇÃO - ATIVOS EMPREGADOS,2336,0.005846871974803786
251,9904,ESTÁGIOS PROFISSIONAIS - EXTRA IEFP,2284,0.005716719002761921
99,504,PROGRAMA DE INSERÇÃO EMPREGO,2138,0.005351289504336685
11,209,PROMOÇÃO DA AUTO ESTIMA,2132,0.005336271853716469
175,754,EDUCAÇÃO FORMAÇÃO DE JOVENS - PERCURSO TIPO 3,2130,0.0053312659701763975
15,213,CONCLUSÃO DO 12º ANO,2100,0.005256177717075322
194,774,EFA - S3 - TIPO C,2086,0.00522113653229482
87,423,PASSAPORTE EMPREGO AGRICULTURA,2022,0.005060948259012524
68,405,ESCOLAS OFICINAS,1890,0.00473055994536779
4,202,PROMOÇÃO DA AUTO ESTIMA,1796,0.004495283418984418
22,220,FEG - APOIO À INSERÇÃO,1724,0.004315071611541836
150,728,FORMAÇÃO PEDAGÓGICA INICIAL DE FORMADORES,1718,0.004300053960921621
60,396,COLOCAÇÃO EXTERNA - REDE EURES,1542,0.0038595362093953073
74,411,ARTESANATO - FORMAÇÃO - PEPS,1466,0.0036693126348725817
226,7009,MEDICINA DO TRABALHO,1422,0.003559183196991004
250,9903,EDUCAÇÃO,1417,0.003546668488140824
144,722,FORMAÇÃO DE ACTIVOS QUALIFICADOS DESEMPREGADOS - OUTRAS ENTIDADES,1410,0.003529147895750573
78,415,FEG - BOLSAS DE FORMAÇÃO,1196,0.0029935183569628973
173,752,EDUCAÇÃO FORMAÇÃO DE JOVENS - PERCURSO TIPO 1-B,1190,0.002978500706342682
168,746,"FORMAÇÃO CONTINUA - RECICLAGEM, ACTUALIZAÇÃO E APERFEIÇOAMENTO - CGP",1188,0.0029734948228026105
7,205,BALANÇO DE COMPETÊNCIAS PESSOAIS E PROFISSIONAIS,1118,0.0027982888989000997
167,745,ESPECIALIZAÇÃO TECNOLÓGICA - CGP,1114,0.002788277131819956
208,788,FEG - APOIO EMPREENDEDORISMO,1082,0.0027081829951788087
165,743,EDUCAÇÃO FORMAÇÃO DE JOVENS - CGP,1072,0.00268315357747845
248,9901,REABILITAÇÃO PROFISSIONAL - ENTIDADES EXTERNAS,1070,0.002678147693938378
103,508,FEG - PLANO DE INTEGRAÇÃO,1028,0.002573024139596872
18,216,FEG-RVCC,862,0.002157535805770918
113,606,EMPREGO PROTEGIDO,854,0.0021375122716106305
21,219,RVCC INTEGRADO,824,0.0020624240185095548
235,7018,FEG - AÇÕES DE INFORMAÇÃO,790,0.0019773239983283354
